Package,GHSA_ID,CVE-ID,Links,Detection_ObjLupAnsys,Detection_ODGen,Detection_Explode.js,Detection_FesaJS
safe-flat 2.0.0,,CVE-2021-25927,https://security.snyk.io/vuln/SNYK-JS-SAFEFLAT-1277112 https://github.com/advisories/GHSA-33rv-m2gp-mm2r,"FN, with FP","FN, with FP",TP,TP
safe-obj 1.0.0,GHSA-33rv-m2gp-mm2r,CVE-2021-25928,https://security.snyk.io/vuln/SNYK-JS-SAFEOBJ-1277111 https://github.com/advisories/GHSA-wpgh-hmv4-r3v5,FN,FN,TP,TP
safe-object2 1.0.3,GHSA-wpgh-hmv4-r3v5,CVE-2020-7726,https://security.snyk.io/vuln/SNYK-JS-SAFEOBJECT2-598801,timed out,timed out,TP,TP
safetydance 1.1.1,,CVE-2020-7737,https://security.snyk.io/vuln/SNYK-JS-SAFETYDANCE-598687,FN,FN,TP,TP
safetydance 2.0.1,GHSA-6m85-wvcr-pgw3,CVE-2020-7737,https://security.snyk.io/vuln/SNYK-JS-SAFETYDANCE-598687 ,2s,12s,FN,TP
sahmat 1.0.1,,,,2s,13s,TP,TP
sds 3.2.0,,,https://github.com/418sec/sds/pull/1/commits/71009613b5b50b6bb3a00b6cfbc643fe82f23ca7,FN,FN,TP,TP
sds 4.4.0,,CVE-2022-25862,https://security.snyk.io/vuln/SNYK-JS-SDS-2385944,timed out,timed out,TP,TP
set-1.0.0,GHSA-ph28-wwfj-fv7f,CVE-2020-28267,https://www.mend.io/vulnerability-database/CVE-2020-28267,timed out,timed out,TP,TP
set-deep-prop 1.0.0,,CVE-2021-23373,https://security.snyk.io/vuln/SNYK-JS-SETDEEPPROP-1083231 ,timed out,FN,TP,TP
set-getter 0.1.0,,CVE-2021-25949,https://www.mend.io/vulnerability-database/CVE-2021-25949,2s,2s,TP,TP
set-in 2.0.0,,CVE-2020-28273,https://github.com/ahdinosaur/set-in/commit/e431effa00195a6f06b111e09733cd1445a91a88,FN,FN,TP,TP
set-in 2.0.1,,CVE-2022-25354,https://security.snyk.io/vuln/SNYK-JS-SETIN-2388571,2s,2s,TP,TP
set-object-value 0.0.5,GHSA-6956-83fg-5wc5,CVE-2020-28281,https://security.snyk.io/vuln/SNYK-JS-SETOBJECTVALUE-1054931 https://github.com/advisories/GHSA-4jj4-m52p-8rx3,2s,2s,TP,TP
set-value 3.0.0,GHSA-4jj4-m52p-8rx3,,,2s,2s,FN,TP
shvl 2.0.1,,,https://security.snyk.io/vuln/SNYK-JS-SHVL-1085284 ,2s,2s,TP,TP
simpl-schema 1.10.0,,CVE-2020-7742,https://security.snyk.io/vuln/SNYK-JS-SIMPLSCHEMA-1016157 https://github.com/advisories/GHSA-9mx2-prfp-8hqp,FN,FN,TP,TP
smart-extend 1.7.4,,,https://hackerone.com/reports/438274,timed out,timed out,FN,TP
style-dictionary 2.10.2,,,https://security.snyk.io/vuln/SNYK-JS-STYLEDICTIONARY-1080632 ,"4s, TFP",timed out,TP,TP
supermixer 1.0.3,,CVE-2020-24939,https://security.snyk.io/vuln/SNYK-JS-SUPERMIXER-607909 https://github.com/advisories/GHSA-7prf-vw4p-qr59,timed out,4s,TP,TP
swiper 6.5.0,,CVE-2021-23370,https://security.snyk.io/vuln/SNYK-JS-SWIPER-1088062 https://github.com/advisories/GHSA-p3hc-fv2j-rp68,timed out,timed out,TP,TP
think-config 1.0.0,,,https://github.com/advisories/GHSA-6cj2-92m5-7mvp https://security.snyk.io/vuln/SNYK-JS-THINKCONFIG-1536566,timed out,timed out,FN,TP
think-helper 1.1.0,,CVE-2021-32736,https://security.snyk.io/vuln/SNYK-JS-THINKHELPER-1315383 https://github.com/advisories/GHSA-vr5m-3h59-7jcp,FN,FN,TP,TP
tiny-conf 1.1.0,,CVE-2020-7724,https://security.snyk.io/vuln/SNYK-JS-TINYCONF-598792 https://github.com/advisories/GHSA-4q97-fh3f-j294,timed out,timed out,TP,TP
total.js 3.4.6,,CVE-2020-28495,https://security.snyk.io/vuln/SNYK-JS-TOTALJS-1046671,2s,2s,FN,FN
typeorm 0.2.24,,CVE-2020-8158,https://hackerone.com/reports/869574,timed out,timed out,TP,TP
undefsafe 2.0.2,,CVE-2019-10795,https://security.snyk.io/vuln/SNYK-JS-UNDEFSAFE-548940 ,timed out,timed out,TP,TP
util 0.3.3,,CVE-2020-7765,https://security.snyk.io/vuln/SNYK-JS-FIREBASEUTIL-1038324,timed out,timed out,TP,TP
utilitify 1.0.2,,CVE-2019-10808,https://security.snyk.io/vuln/SNYK-JS-UTILITIFY-559497,61s,FN,TP,TP
utils-extend 1.0.8,,,https://hackerone.com/reports/801522,94s,timed out,TP,TP
vega-util 1.13.0,,CVE-2019-10806,https://security.snyk.io/vuln/SNYK-JS-VEGAUTIL-559223 https://github.com/advisories/GHSA-6hwh-rqwf-cxxr,timed out,timed out,FN,FN
worksmith 1.0.0,,CVE-2020-7725,https://security.snyk.io/vuln/SNYK-JS-WORKSMITH-598798 https://github.com/advisories/GHSA-9829-jj5p-j6hf,2s,1s,TP,TP
x-assign 0.1.4,,CVE-2021-23452,https://security.snyk.io/vuln/SNYK-JS-XASSIGN-1759314 https://github.com/advisories/GHSA-4mvj-rq4v-2fxw,FN,FN,TP,TP
y18n 3.2.1,,CVE-2020-7774,https://security.snyk.io/vuln/SNYK-JS-Y18N-1021887 https://github.com/advisories/GHSA-c4w7-xm78-47vh,FN,FN,TP,TP
y18n 5.0.4,,CVE-2020-7774,https://security.snyk.io/vuln/SNYK-JS-Y18N-1021887,FN,FN,TP,TP
yargs-parser 6.0.0,,CVE-2020-7608,https://security.snyk.io/vuln/SNYK-JS-YARGSPARSER-560381 https://github.com/advisories/GHSA-p9pc-299p-vxgp,timed out,timed out,TP,TP
